,name,school_rating,size,reduced_lunch,state_percentile_16,state_percentile_15,stu_teach_ratio,school_type,avg_score_15,avg_score_16,full_time_teachers,percent_black,percent_white,percent_asian,percent_hispanic
108,Hazelwood Elementary,5.0,806.0,34.0,95.1,92.9,13.8,Public,85.3,90.1,58.0,22.1,47.0,2.2,18.9
109,Head Middle,4.0,587.0,48.0,83.4,86.5,17.7,Public Magnet,76.6,74.5,33.0,57.9,30.2,7.5,4.1
110,Hendersonville High School,4.0,1522.0,21.0,73.9,79.6,15.5,Public,68.0,63.4,98.0,8.7,85.2,1.6,3.5
111,Hickman Elementary,1.0,536.0,74.0,14.1,24.9,14.4,Public,32.7,21.5,37.0,36.0,48.1,2.2,9.3
112,Highland Park Elementary,2.0,348.0,88.0,34.6,25.6,11.6,Public,34.1,39.7,30.0,20.1,54.3,0.0,22.7
113,Hillsboro Elementary/ Middle School,5.0,529.0,20.0,93.0,92.0,12.5,Public,84.3,88.4,42.0,1.1,90.5,1.3,3.2
114,Hillsboro High,1.0,1198.0,53.0,21.6,25.4,17.1,Public Magnet,37.2,26.2,70.0,51.7,38.1,2.5,7.1
115,Hillwood High,1.0,1154.0,66.0,25.3,22.4,18.0,Public,35.2,31.0,64.0,34.4,46.0,7.8,10.8
116,Hobgood Elementary,1.0,483.0,71.0,22.4,30.6,10.7,Public,38.7,29.1,45.0,33.7,35.4,2.9,21.1
117,Holloway High School,1.0,118.0,54.0,23.6,22.7,7.3,Public,35.4,28.9,16.0,22.9,65.3,0.8,8.5
118,Holston Valley Middle School,2.0,190.0,73.0,40.5,25.6,9.5,Public,36.2,44.1,20.0,1.1,96.3,1.1,1.1
119,Holston View Elementary,5.0,370.0,38.0,95.7,86.2,14.2,Public,78.6,91.1,26.0,0.8,91.1,0.5,3.0
120,Homer Pittard Campus School,4.0,248.0,12.0,83.6,95.1,16.5,Public,88.3,77.6,15.0,8.1,83.5,4.0,2.0
121,Howard Elementary,3.0,521.0,42.0,57.3,45.9,14.4,Public,48.5,54.7,36.0,19.4,64.7,2.5,12.5
122,Hull-Jackson Elementary,0.0,508.0,53.0,5.5,13.5,14.9,Public Magnet,21.3,10.6,34.0,87.2,6.1,2.8,2.6
123,Hume - Fogg High,5.0,915.0,29.0,98.6,97.0,19.8,Public Magnet,89.6,97.9,46.0,21.4,63.1,8.6,6.2
124,Hunters Bend Elementary,5.0,564.0,4.0,97.1,97.1,16.5,Public,92.1,93.7,34.0,2.5,86.9,4.8,3.0
125,Hunters Lane High,1.0,1695.0,84.0,12.9,11.4,18.0,Public Magnet,23.7,16.4,94.0,56.9,19.4,1.2,21.4
126,Indian Lake Elementary,5.0,555.0,10.0,96.7,96.7,15.8,Public,91.2,93.1,35.0,1.4,93.3,2.2,1.6
127,Indian Springs Elementary,4.0,389.0,36.0,75.6,71.1,14.4,Public,65.9,70.3,27.0,0.0,95.9,0.3,1.8
128,Inglewood Elementary,0.0,306.0,80.0,4.1,0.6,10.9,Public,1.5,9.2,28.0,81.0,10.1,0.7,5.9
129,Isaac Litton Middle,1.0,419.0,71.0,13.0,6.4,14.4,Public,13.2,20.5,29.0,47.7,43.9,2.4,4.8
130,Isaiah T. Creswell Middle,0.0,426.0,72.0,2.2,6.6,14.6,Public Magnet,13.5,4.9,29.0,87.6,9.4,0.7,2.1
131,J E Woodard Elementary,4.0,510.0,49.0,79.5,75.4,15.4,Public,68.5,73.1,33.0,11.0,75.3,1.2,10.0
132,J W Wiseman Elementary,3.0,431.0,49.0,65.4,33.7,13.0,Public,40.8,61.4,33.0,4.9,89.1,0.7,2.3
133,J. Brown Elementary,0.0,401.0,67.0,7.3,14.7,13.3,Public,23.1,12.4,30.0,38.7,47.9,1.2,12.0
134,J. R. Baker Elementary,4.0,332.0,50.0,70.2,53.9,14.4,Public,53.1,65.2,23.0,24.7,63.9,1.8,9.3
135,Jack Anderson Elementary,5.0,707.0,15.0,97.0,95.0,16.8,Public,88.2,93.6,42.0,5.9,87.8,3.1,2.5
136,Jackson Elementary,2.0,519.0,87.0,34.2,30.7,14.8,Public,38.8,39.2,35.0,9.6,72.6,0.4,9.8
137,Jefferson Elementary,4.0,450.0,45.0,83.5,79.1,16.6,Public,71.3,77.0,27.0,3.6,84.9,4.0,4.2
138,Jere Baxter Middle,0.0,369.0,90.0,4.3,2.3,14.1,Public,4.4,8.2,26.0,62.6,16.5,1.9,18.7
139,Jim Satterfield Middle School,5.0,272.0,56.0,95.1,76.8,15.1,Public,69.3,87.4,18.0,14.0,80.5,0.0,4.4
140,Joe Shafer Middle School,3.0,656.0,55.0,55.1,44.7,14.9,Public,49.0,54.0,44.0,20.4,66.9,0.9,9.9
141,John Adams Elementary,5.0,372.0,30.0,95.0,91.7,14.8,Public,84.3,90.0,25.0,0.8,88.7,2.2,4.6
142,John B. Whitsitt Elementary,0.0,517.0,89.0,0.6,1.0,13.6,Public,2.4,2.3,38.0,14.1,14.9,2.9,64.8
143,John Early Middle,0.0,482.0,86.0,3.4,2.5,12.6,Public Magnet,5.2,7.0,38.0,84.4,9.8,2.5,2.5
144,John Overton High,1.0,1894.0,67.0,17.5,10.7,20.5,Public,23.3,21.4,92.0,22.2,34.2,14.5,28.7
145,John Pittard Elementary,2.0,989.0,53.0,37.3,28.9,14.7,Public,37.5,41.1,67.0,27.7,49.0,1.5,15.3
146,John Trotwood Moore Middle,3.0,639.0,43.0,60.3,78.5,14.2,Public Magnet,70.4,59.6,45.0,32.9,57.1,3.8,5.5
147,Johnson Elementary,4.0,531.0,54.0,84.5,91.6,16.0,Public,83.9,79.1,33.0,4.1,86.8,2.4,2.1
148,Johnson Elementary,4.0,393.0,45.0,72.6,86.7,10.3,Public,79.0,67.6,38.0,18.6,45.3,4.1,23.2
149,Jones Elementary,1.0,366.0,65.0,16.4,18.2,15.2,Public Magnet,26.5,24.0,24.0,95.1,2.2,0.5,1.6
150,Julia Green Elementary,5.0,581.0,18.0,97.5,87.6,14.8,Public Magnet,79.8,94.8,39.0,14.1,75.6,6.5,2.9
151,K I P P Academy Nashville,5.0,349.0,87.0,93.1,66.6,13.4,Public Charter,62.5,83.6,26.0,68.8,2.6,0.3,27.5
152,Kennedy Elementary,2.0,318.0,79.0,43.3,48.8,12.7,Public,50.2,45.3,25.0,3.5,87.1,0.0,2.8
153,Kenrose Elementary,5.0,820.0,2.0,98.8,98.4,16.4,Public,94.0,96.6,50.0,2.1,68.7,21.1,3.9
154,Kenwood Elementary,3.0,713.0,67.0,62.8,43.7,13.2,Public,47.1,59.6,54.0,31.6,40.3,0.7,16.1
155,Kenwood High School,2.0,1089.0,59.0,47.4,58.5,17.8,Public,56.9,45.8,61.0,39.7,37.6,1.5,11.6
156,Kenwood Middle School,2.0,863.0,71.0,32.6,36.9,14.1,Public,43.6,38.7,61.0,37.7,38.7,1.2,13.4
157,Ketron Elementary School,1.0,722.0,78.0,12.7,,17.6,Public,,20.2,41.0,1.1,93.4,0.1,2.9
158,Kirkpatrick Elementary,0.0,375.0,79.0,0.5,0.7,11.0,Public Magnet,1.7,1.9,34.0,86.1,8.0,1.6,1.1
159,Lake Ridge Elementary,5.0,517.0,22.0,91.0,86.6,16.6,Public,79.0,85.9,31.0,1.4,82.8,5.4,7.0
160,Lakeside Park Elementary,4.0,355.0,33.0,74.3,77.2,13.6,Public,69.9,68.9,26.0,9.3,84.5,0.6,3.9
161,Lakeview Elementary,0.0,975.0,80.0,9.3,5.9,14.5,Public Magnet,11.1,15.6,67.0,40.6,30.9,0.9,24.9
162,Lakeview Elementary School,5.0,692.0,22.0,96.5,96.2,16.8,Public,90.3,92.0,41.0,0.7,90.5,1.4,2.7
163,Lavergne High School,2.0,1771.0,59.0,41.7,46.5,15.2,Public,50.3,42.6,116.0,35.0,36.5,3.1,24.6
164,Lavergne Lake Elementary School,3.0,917.0,66.0,68.0,70.5,13.6,Public,65.5,63.1,67.0,40.2,29.7,2.6,23.3
165,Lavergne Middle School,2.0,1020.0,71.0,45.7,47.1,14.5,Public,50.6,47.7,70.0,37.0,29.2,3.1,28.3
166,Lead Prep Southeast,2.0,235.0,77.0,47.8,,14.6,Public Charter,,49.6,16.0,36.6,33.2,3.4,26.8
167,Learning Way Elementary,1.0,575.0,97.0,10.4,12.1,15.1,Public,19.3,16.1,38.0,12.7,39.1,1.2,39.7
168,Lebanon High School,3.0,1802.0,39.0,52.0,33.1,18.0,Public,41.5,49.0,100.0,5.5,74.0,1.5,8.5
169,Liberty Bell Middle School,5.0,1141.0,46.0,95.5,92.6,22.3,Public,82.3,88.0,51.0,11.0,76.4,2.9,6.7
170,Liberty Collegiate Academy,5.0,416.0,81.0,91.3,93.4,14.8,Public Charter,82.9,82.6,28.0,52.9,14.9,0.7,31.3
171,Liberty Elementary,4.0,522.0,46.0,86.4,93.5,11.3,Public,86.2,81.0,46.0,13.6,47.3,3.6,31.6
172,Liberty Elementary,2.0,717.0,62.0,31.7,20.5,16.6,Public,29.2,37.3,43.0,1.3,88.6,0.3,7.9
173,Liberty Elementary,3.0,807.0,63.0,60.1,52.4,13.4,Public,52.6,57.4,60.0,27.3,45.8,0.1,12.0
174,Lincoln Elementary,3.0,460.0,78.0,62.1,70.6,15.3,Public,65.5,58.7,30.0,17.0,63.9,0.9,5.4
175,Lipscomb Elementary,5.0,775.0,5.0,98.9,98.6,16.4,Public,94.0,96.9,47.0,3.6,80.9,8.1,2.6
176,Lockeland Elementary,5.0,300.0,20.0,99.4,98.0,13.6,Public Magnet,93.7,97.5,22.0,13.0,82.7,2.0,1.3
177,Longview Elementary School,5.0,863.0,13.0,95.4,91.1,17.2,Public,83.7,90.4,50.0,3.2,83.3,1.4,8.5
178,Madison Creek Elementary,4.0,740.0,21.0,79.7,82.9,13.7,Public,75.2,73.1,54.0,12.8,77.0,3.5,3.9
179,Maplewood High,0.0,1002.0,86.0,2.9,3.7,18.9,Public,13.0,7.2,53.0,72.2,11.3,1.1,14.5
180,Margaret Allen Middle,1.0,504.0,89.0,24.7,11.5,18.6,Public,20.5,33.1,27.0,34.3,31.0,3.6,30.8
181,Martin Luther King Junior School,5.0,1224.0,37.0,98.9,97.7,21.1,Public Magnet,90.2,98.9,58.0,36.8,42.1,11.8,4.7
182,Marvin Wright Elementary School,4.0,611.0,31.0,77.1,84.3,16.5,Public,76.4,72.1,37.0,3.9,86.7,1.8,7.4
183,May Werthan Shayne Elementary School,2.0,794.0,55.0,36.6,41.7,16.5,Public,45.5,41.0,48.0,32.5,50.5,8.3,6.4
184,McDowell Elementary,0.0,358.0,76.0,5.6,16.9,14.3,Public,25.2,11.4,25.0,42.7,33.2,0.8,22.6
185,McFadden School Of Excellence,5.0,388.0,3.0,99.8,99.3,18.4,Public Magnet,94.9,98.5,21.0,4.9,86.9,3.1,2.3
186,McGavock Elementary,1.0,310.0,76.0,19.9,15.3,14.7,Public,23.7,27.1,21.0,20.6,39.7,4.5,30.3
187,McGavock High,1.0,2314.0,65.0,19.8,24.7,17.5,Public,36.7,24.8,132.0,37.3,45.5,2.5,13.3
188,McMurray Middle,1.0,740.0,98.0,12.8,6.8,17.6,Public,13.6,21.4,42.0,11.9,18.2,19.5,50.0
189,Meigs Middle,5.0,699.0,28.0,98.2,98.4,19.4,Public Magnet,91.7,91.8,36.0,25.3,59.9,8.7,4.7
190,Middle College High,5.0,122.0,19.0,94.3,96.7,20.3,Public,89.4,83.5,6.0,52.5,37.7,4.1,4.9
191,Miller Perry Elementary,3.0,380.0,39.0,63.5,71.2,16.5,Public,65.9,61.3,23.0,0.5,94.5,1.1,1.8
192,Millersville Elementary,2.0,302.0,62.0,47.5,60.2,13.1,Public,57.0,47.7,23.0,5.6,67.9,1.0,21.2
193,Minglewood Elementary,3.0,812.0,76.0,58.5,36.1,13.0,Public,42.2,56.0,62.0,28.0,39.9,0.7,18.7
194,Mitchell-Neilson Elementary,1.0,819.0,65.0,12.4,28.0,13.4,Public,36.5,19.4,61.0,25.6,48.6,1.5,15.9
